
system:index,Burned_Area,CO,DW_bare,DW_built,DW_crops,DW_flooded,DW_grass,DW_shrub,DW_trees,DW_water,LST_C,NBR,NDMI,NDVI,NO2,S1_VH,S1_VV,S1_VV_VH,S2_B11,S2_B12,S2_B4,S2_B8,SAVI,SO2,T21,confidence,day,fire_date,fire_label,latitude,longitude,month,sample_type,source,year,.geo
2_3877_0,0,0.034896535002878926,0.052514482056722045,0.31024559426945275,0.17946381144261417,0.033565358634894855,0.06371801479074818,0.10531533325019364,0.07460702229470301,0.034781898300235085,34.78451198000005,0.17671604,0.025827574,0.38269183,3.113272770348363E-5,-16.742874800691986,-9.085789608042722,7.657085192649264,2678.0,1973.0,1259.0,2820.0,0.5739673979654369,5.9479050396260486E-5,0,0,0,NO_FIRE,0,10.936278726748435,78.04865114947944,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.05012346072463,10.936988584155175]}"
2_3878_0,0,0.03664736612511204,0.05186353581102223,0.08171022329859588,0.31184428156239496,0.044202190914134284,0.07188631084329468,0.14884805856082511,0.1079323468349722,0.050856766381243965,32.80206038000006,0.1385597,-0.0058078803,0.37732628,3.789173433778783E-5,-17.23001686132696,-10.36491696553179,6.8650998957951685,3009.0,2250.3333333333335,1344.625,2974.25,0.5659238894515989,6.677459473284217E-5,0,0,0,NO_FIRE,0,17.21861368265522,78.37350007395747,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.37351696300766,17.21621242015063]}"
2_3879_0,0,0.03397262923789434,0.03505634889006615,0.14709691420596624,0.10746492403892002,0.02947887863099043,0.04213813708962074,0.15058373999116675,0.29679458217495785,0.03144560077427221,17.09796749000003,0.18437533,0.025080387,0.43216532,2.5884971692325514E-5,-15.430794382090484,-7.940201848702784,7.490592533387701,2653.0,1921.0,1106.0,2789.5,0.6481647843942505,5.763003625201706E-5,0,0,0,NO_FIRE,0,12.784469209844307,77.09376772851328,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09790925955794,12.78751806944139]}"
2_3880_0,0,0.03609430873641656,0.04817240911207216,0.052086269387098795,0.14819964700761964,0.060409035917152375,0.0645315191735897,0.21801173214471953,0.1527398816200302,0.09703258627696949,33.072083959999986,0.058263697,-0.093638174,0.33675414,2.0443111831271315E-5,-16.503586174348786,-10.37664704780794,6.126939126540847,2750.5,2028.5,1131.0,2279.5,0.5050571679859279,5.9130350014448304E-5,0,0,0,NO_FIRE,0,14.657297786907652,79.27423686553705,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.27183224712718,14.656013860409994]}"
2_3881_0,0,0.03957379263013624,0.062073382273824376,0.047019992785697635,0.36736710422503,0.05113646219780838,0.0617613741196692,0.13462634320074524,0.1361096471823244,0.047117523457431656,32.54741789000002,0.18814307,0.0,0.37199435,6.819978099427556E-5,-17.017799465895408,-10.009755981340865,7.008043484554543,2425.0,1657.0,1110.0,2425.0,0.5579126007636827,1.3755513255392417E-4,0,0,0,NO_FIRE,0,16.787553730094665,80.03620936967947,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.03540023862877,16.78502108377326]}"
2_3882_0,0,0.03203734999123547,0.15085408778666237,0.05947541586816484,0.07630523528124011,0.02997501827451552,0.062270137324366114,0.3161460541426962,0.1515987678701708,0.029960170182464427,17.98836170000004,0.10308545,-0.11002871,0.26836163,2.0152408998279132E-5,-16.63618176722548,-9.30101941223727,7.33516235498821,3545.0,2311.0,1639.5,2842.222222222222,0.4024975210708973,-4.8677361851040346E-6,0,0,0,NO_FIRE,0,13.490634609591792,77.87261958897683,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.87046040390072,13.488203991054617]}"
2_3883_0,0,0.040948075773604896,0.06544845085591078,0.05067015480848828,0.22509391485281022,0.08842861102727641,0.07861974188459239,0.10952318562028397,0.20074598469571875,0.08123268996132538,31.089632359999996,0.397858,0.17898963,0.44327646,2.7639517786415036E-5,-16.291731448474067,-9.082839301721117,7.20889214675295,1840.5,1138.5,1019.5,2643.0,0.6648239148239148,1.790777046300381E-4,0,0,0,NO_FIRE,0,18.326565610501337,80.43242145385136,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.43065896364136,18.330123372458836]}"
2_3884_0,0,0.03508804293691765,0.039386200814925394,0.19245497593335037,0.139898404069566,0.03781071734004494,0.060590245865349626,0.07371474051815939,0.2671850974077423,0.035060393487520776,31.253697320000015,0.35077605,0.14189316,0.57660455,3.221475804506999E-5,-16.35623882402279,-8.92485198224653,7.431386841776259,2289.0,1464.0,818.0,3046.0,0.8647949281925217,4.455631167836675E-5,0,0,0,NO_FIRE,0,11.043747124507167,78.03089462616406,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.03215715504224,11.044786418249517]}"
2_3885_0,0,0.03608793664471556,0.05293401966775781,0.05831783710290556,0.20310049759143073,0.05025327400020931,0.047369868562057396,0.20092843042389638,0.13675941640605638,0.0860391160156038,30.527368070000023,0.19704872,0.019501625,0.29550594,2.3861077444069272E-5,-17.588577348154622,-11.517586816595959,6.070990531558664,1583.75,1104.6,895.5,1646.75,0.44317176285517645,1.2043414492568947E-4,0,0,0,NO_FIRE,0,16.18953859294039,76.35601507267253,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.35230757373873,16.192132996254376]}"
2_3886_0,0,0.037285501994368836,0.05364873593630777,0.056500558709641074,0.2505315664774654,0.03999437787570059,0.11887176084035839,0.20311955521306532,0.12886014991355213,0.03878296487329697,30.447044600000027,0.14369847,-0.034151193,0.41614002,2.4129531374163338E-5,-16.840385989875617,-10.87254455479653,5.967841435079087,3119.0,2181.0,1201.0,2913.0,0.6241341596791834,6.0553443980151025E-5,0,0,0,NO_FIRE,0,13.983930397653339,79.88381821030195,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.88268664032846,13.982277397320352]}"
2_3887_0,0,0.0359022781566059,0.06285639228369284,0.046011185110721706,0.45950312840689284,0.04334783505235231,0.04827155347010191,0.10136313377564451,0.11896857598103247,0.052243784112029505,36.319202959999984,0.03381949,-0.07817855,0.22578257,2.783874368638012E-5,-20.16416871264306,-11.643157644838908,8.521011067804153,2192.375,1751.8,1183.914835164835,1874.4375,0.3386185025492351,9.849596461694381E-5,0,0,0,NO_FIRE,0,16.23881748909048,76.00095419179002,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.00196461293211,16.23704876046035]}"
2_3888_0,0,0.03256407631819787,0.03303999325007568,0.035063257400682314,0.033061695753677206,0.030910900891701013,0.03396126636545415,0.04966794396175739,0.7125602619475283,0.03516624822212314,19.755478040000014,0.45497274,0.22168982,0.6643566,1.770343893251214E-5,-16.432195860391424,-10.487232679525707,5.944963180865717,1936.25,1138.5,612.9166666666666,3039.2727272727275,0.9963984610757952,8.489630765708977E-5,0,0,0,NO_FIRE,0,11.705977553601732,78.56800853931134,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.57114632551395,11.709539728497964]}"
2_3889_0,0,0.03762397205049278,0.07758079153546667,0.05197910990443875,0.2538450426177778,0.04971493214567299,0.067329621763106,0.24046655700419892,0.10681278160849556,0.04158303698860719,34.24788283999999,0.07921703,-0.06813606,0.32259247,2.902881026741444E-5,-18.878800706209393,-11.84419798215335,7.034602724056043,3360.0,2501.0,1501.375,2931.3333333333335,0.4838341306615788,1.363389954512338E-4,0,0,0,NO_FIRE,0,18.332378017730804,78.47177719002802,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.4723316442608,18.330123372458836]}"
2_3890_0,0,0.03591090276227805,0.2332711312919855,0.09514859296253016,0.12357884490509229,0.03474092525269451,0.04752580306075256,0.25358250877691496,0.04830270919724014,0.047703456013174404,34.740077720000045,0.080218226,-0.038489208,0.24325581,2.8184069617193517E-5,-17.982363888270726,-10.418056266954125,7.564307621316601,2887.0,2276.0,1627.0,2673.0,0.3648412975235438,5.142661727746014E-5,0,0,0,NO_FIRE,0,14.826889053263406,76.75849238572587,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.75654945159252,14.826693764392703]}"
2_3891_0,0,0.037551718957296344,0.07379685394985021,0.055766412316531434,0.3608225903008133,0.062269214857522334,0.0693591083857979,0.11673596460509618,0.0976011044971767,0.06275538988716778,32.68926571999998,0.19841039,0.027763924,0.41012773,2.6260926005135912E-5,-17.74732675292121,-10.543001539802075,7.2043252131191355,2924.0,2067.5,1293.0,3091.0,0.6151214505644885,9.76921599619599E-5,0,0,0,NO_FIRE,0,16.420627577930436,77.88457138534628,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.88842670958311,16.416711817284256]}"
2_3892_0,0,0.033934620168600466,0.0459676226042211,0.039007653249427676,0.34612427591346207,0.06832478284835815,0.08014853715896607,0.08490507534705102,0.18361801546998321,0.06003660817630589,30.371848160000013,0.33155352,0.14494972,0.46469024,2.1168397819096344E-5,-15.84274462054406,-9.275763034978958,6.566981585565102,1955.5,1314.5,957.0,2618.5,0.6969379194630873,1.0632747464326733E-4,0,0,0,NO_FIRE,0,14.198642665090066,75.85148566157366,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.8492510146318,14.197873065509038]}"
2_3893_0,1,0.03482489211658886,0.049032812365718804,0.03204546979395673,0.053726552170701325,0.029572285575947415,0.052750603877939284,0.2142841169164361,0.4795219461472395,0.035511862816444285,28.26634783999998,0.19378926,0.0252443,0.46055683,2.2864347437217322E-5,-16.2636773358865,-9.435813500718295,6.827863835168204,2394.0,1700.5,930.0,2518.0,0.6907351022183558,9.058028188255007E-5,0,0,0,NO_FIRE,0,15.814014856602336,78.99137450554845,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.99335450905012,15.814840576924176]}"
2_3894_0,0,0.035329482209471026,0.14888721232785396,0.048881726839614136,0.11547134609686004,0.07338801598935216,0.04557838191761187,0.10539816883910033,0.06072864596111079,0.21805020026793634,30.826444820000006,0.1205298,0.014287141,0.33614108,2.690678835094019E-5,-18.274614770114027,-10.996636171475602,7.277978598638425,2466.5,1992.0,1261.0,2538.0,0.5041452822739834,2.2321259108169814E-5,0,0,0,NO_FIRE,0,11.077221797833268,78.0762928519857,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.07707291924821,11.080719029614299]}"
2_3895_0,0,0.03499025819658468,0.04202291887842727,0.03407324566885981,0.042838623704464764,0.027809225279381688,0.04988481140011275,0.1779744954285573,0.5264475784045929,0.032561185974057535,27.902328710000006,0.26472145,0.037478883,0.550951,1.9042850766162954E-5,-14.139483839116401,-7.413944804911006,6.725539034205395,2326.3333333333335,1457.8,726.0,2507.5,0.8262987012987013,2.051038665861504E-5,0,0,0,NO_FIRE,0,14.625399626645269,74.73875746173718,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.7353400623236,14.629064401886408]}"
2_3896_0,0,0.037561716239627806,0.06212832305002315,0.04085362615095901,0.24833597245240777,0.0685485170849053,0.06654411383326454,0.1937249158910508,0.19404956924825392,0.0433266654787264,33.88488911600007,0.17797069,0.016861826,0.3129725,2.555239128393355E-5,-17.00995859582898,-9.365517167837144,7.644441427991836,2099.0,1515.0,1136.0,2171.0,0.46938775510204084,1.0784482424422132E-4,0,0,0,NO_FIRE,0,18.17963117105487,77.58602156718348,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.58299951298248,18.17740977415852]}"
2_3897_0,0,0.03357075511987312,0.03404341405257583,0.1296686885956054,0.07981483446848062,0.033923372574564487,0.041189774689781994,0.05734756435008927,0.47609178705089206,0.03748234296734962,29.889907340000036,0.39122936,0.19286016,0.5798014,2.22925496632431E-5,-15.34440067189606,-4.531228621504505,10.813172050391556,1910.5,1235.5,751.0,2823.5,0.8695804195804195,4.899959356494502E-5,0,0,0,NO_FIRE,0,12.424743408880065,78.18955958731055,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.19385390618375,12.428191955793581]}"
2_3898_0,0,0.04032232438456211,0.04863617507982309,0.03453442367242166,0.04252623331181153,0.029058398808249168,0.05180209553455589,0.19298450217616778,0.511337487725541,0.03233290303291546,26.06856098000003,0.2746114,0.05192425,0.51629,2.9008101102126448E-5,-13.58858011861242,-7.253461062132359,6.33511905648006,2328.0,1470.0,824.0,2583.0,0.7743213499633163,1.499615871022571E-4,0,0,0,NO_FIRE,0,18.176595684401562,80.05367360917435,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05336654431116,18.17740977415852]}"
