system:index,Burned_Area,CO,DW_bare,DW_built,DW_crops,DW_flooded,DW_grass,DW_shrub,DW_trees,DW_water,LST_C,NBR,NDMI,NDVI,NO2,S1_VH,S1_VV,S1_VV_VH,S2_B11,S2_B12,S2_B4,S2_B8,SO2,T21,confidence,day,fire_date,fire_label,latitude,longitude,month,sample_type,source,.geo,S2_B4_refl,S2_B8_refl,S2_B11_refl,S2_B12_refl,DW_water_norm,DW_trees_norm,DW_grass_norm,DW_flooded_norm,DW_crops_norm,DW_shrub_norm,DW_built_norm,DW_bare_norm,DW_dominant_class,DW_dominant_prob,atmospheric_SO2_NO2_ratio,dist_to_industrial_km,nearest_facility_name,nearest_facility_category,is_industrial_zone,industrial_density_5km,industrial_density_15km,industrial_density_30km,industrial_proximity_score,month_sin,month_cos,day_sin,day_cos,spatial_cluster_id,recurrence_count_1km,active_months_count,persistence_score,is_recurrent_hotspot,vegetation_stress_index,fuel_dryness_indicator,thermal_vegetation_ratio,built_industrial_interaction,radar_biomass_proxy,industrial_gas_emission_score
2_648_0,0,0.0357457970153964,0.0660968058855851,0.0394761241292832,0.3997838626351409,0.034583567358503,0.0950497419611123,0.1604401222744805,0.0870977357608845,0.033246658805355,18.93686224999999,0.045377426,-0.09811575,0.28595185,2.378936869023709e-05,-17.366170561622262,-9.889348618516836,7.476821943105426,3376.0,2532.0,1539.6,2772.714285714286,8.353980993421095e-05,0.0,0,0,NO_FIRE,0,14.445899158814257,78.01875140316292,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.02317400220105,14.449401345062505]}",0.1539599999999999,0.2772714285714285,0.3376,0.2532,0.0363044117214612,0.0951082656931796,0.1037916317058323,0.0377642780746964,0.4365526783811591,0.1751960787938232,0.0431068117836301,0.0721758438462178,crops,0.4365526783811591,3.5116446771660152,55.64,Rayalaseema Thermal Power Station (RTPS),Thermal Power,0,0,0,0,0.0038,0.0,-1.0,0.1012,-0.9949,655,1,1,0.0833,0,2.0446844632929277,1.0482860838149406,24.094176061803264,0.00016380588477779437,-129.8437651228488,0.19873593388372757
2_649_0,0,0.0364782747930571,0.0516980121322317,0.0844095808287245,0.2400417791641052,0.0531632186024697,0.1019698742930905,0.1339717335494901,0.1969246932993207,0.0404066993842123,32.05351400000001,0.22232251,0.053148616,0.46128136,3.334454395829785e-05,-16.576032230948037,-9.824469233585084,6.751562997362953,2733.818181818182,1934.6,1121.0,3040.7272727272725,0.0001122686229351,0.0,0,0,NO_FIRE,0,11.730381626514568,79.25714242435052,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.25386594144479,11.727506034180355]}",0.1121,0.3040727272727273,0.2733818181818182,0.19346,0.0447677203976738,0.2181784145543499,0.1129752959511126,0.0589010273570052,0.2659490484782718,0.1484310572290549,0.0935197521948959,0.0572776838376356,crops,0.2659490484782718,3.366926327604693,29.27,NLC Neyveli Thermal Power Station I & II,Thermal Power,0,0,0,1,0.0536,0.0,-1.0,0.1012,-0.9949,656,1,1,0.0833,0,0.7933673574120078,0.7363450077121462,33.34457041796796,0.00501265871764642,-111.91412585356444,0.3743546032597008
2_650_0,0,0.0319919362332214,0.0354323061867891,0.0458129896056454,0.0827453739680897,0.0358438036774339,0.0710800889646634,0.0867381492657039,0.4644833269104471,0.0379030451534644,23.12564576,0.4437233,0.18333982,0.6221985,1.5880737466341812e-05,-13.85729245391384,-7.067920317152317,6.789372136761524,2098.0,1171.3333333333333,708.0,3040.0,2.36768200317047e-05,0.0,0,0,NO_FIRE,0,12.020796111172556,75.97614881574567,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.97501515440854,12.023950077939796]}",0.0708,0.304,0.2098,0.1171333333333333,0.0440713054446082,0.5400723475202652,0.0826475102226788,0.0416769474264886,0.09621117869319,0.1008537296808581,0.0532684972953028,0.041198483716608,trees,0.5400723475202652,1.4909143912167917,163.29,Baikampady Industrial Area Mangalore,Industrial Estate,0,0,0,0,0.0,0.0,-1.0,0.1012,-0.9949,657,1,1,0.0833,0,0.544801065700927,0.4542890299518059,20.607446686125492,0.0,-94.08231527755835,0.03760053629613252
2_651_0,0,0.0332088520031636,0.0492742783972062,0.299898781965021,0.1346015509450808,0.0394177926005795,0.0573461692081764,0.1431631347979419,0.0843772236374206,0.0414799318066798,22.50185711000006,0.037526697,-0.07000911,0.28504848,2.6518945611915216e-05,-15.781375991473006,-9.41175321280835,6.369622778664656,2934.5,2366.0,1419.0,2550.5,5.709187896003936e-05,0.0,0,0,NO_FIRE,0,13.288806260186467,77.18314796610639,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17875763512869,13.29057462854832]}",0.1419,0.25505,0.29345,0.2366,0.0488252593148394,0.0993188668574385,0.0675011134384502,0.0463979534564212,0.1584369921267522,0.1685146738768067,0.3530053006328387,0.0579998402964528,built,0.3530053006328387,2.152871377148096,46.35,Peenya Industrial Area Bangalore,Industrial Estate,0,0,0,0,0.0097,0.0,-1.0,0.1012,-0.9949,658,1,1,0.0833,0,1.6511206244669314,1.0298552023417904,28.663015957944484,0.0034241514161385354,-100.52141199395798,0.15140164330233308
2_652_0,0,0.0389651207077252,0.0582504465153602,0.0357288879838407,0.2194957790096574,0.037979493788241,0.1314229092651816,0.1623245348404769,0.2266565011713006,0.0420677737008942,31.29471355999999,0.22454007,0.02013095,0.47679207,5.031101812238012e-05,-13.969707006531848,-8.591619990044475,5.378087016487374,2506.75,1652.6666666666667,924.6,2609.75,0.0001593701017648,0.0,0,0,NO_FIRE,0,16.748348559136502,80.3945652582323,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.39472635227658,16.74908847240848]}",0.09246,0.260975,0.250675,0.1652666666666666,0.0460297208773458,0.2480030333463788,0.1438003321349158,0.0415564063495583,0.2401679136482415,0.1776122759282918,0.039093838263164,0.0637364794521037,trees,0.2480030333463788,3.16769780681323,21.95,Dr Narla Tata Rao Thermal Power Station (VTPS),Thermal Power,0,0,0,1,0.1114,0.0,-1.0,0.1012,-0.9949,659,1,1,0.0833,0,0.91897574200579,0.7598491849221666,32.03825514267329,0.00435505358251647,-75.13029987596164,0.8018072078054418
2_653_0,0,0.0353586066762827,0.042051542259287,0.1883638601168059,0.1518060822621919,0.0377465532394126,0.089586185128428,0.1538024029694497,0.1553028847789392,0.0314199124230071,26.728238840000017,0.36431846,0.13922729,0.5366197,1.9391765700204584e-05,-13.801670507300408,-7.593675770023008,6.207994737277399,2473.0,1525.0,987.0,3273.0,9.426518617894324e-05,0.0,0,0,NO_FIRE,0,12.215628165048615,79.89332192958646,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.89166979316965,12.212596287604896]}",0.0987,0.3273,0.2473,0.1525,0.0369611492365763,0.1826922056275998,0.1053856647812539,0.0444035606676836,0.1785787046753281,0.180927097840517,0.2215838367345941,0.0494677804364468,built,0.2215838367345941,4.861093498976668,60.06,SIPCOT Cuddalore Chemical Complex,Chemical,0,0,0,0,0.0025,0.0,-1.0,0.1012,-0.9949,660,1,1,0.0833,0,0.5879908143249786,0.5471773218827733,25.784035205968028,0.0005539595918364852,-85.68069787495763,0.18279684040682306
2_654_0,0,0.0335684440969321,0.0806341578951105,0.0506066777743399,0.270135007542558,0.0664881402626633,0.0955945951165631,0.1370398230617865,0.1308069373248145,0.069015344697982,30.508568960000048,0.22791763,0.06828588,0.45420054,1.9140164350828143e-05,-16.437458369283775,-10.35864749481602,6.078810874467756,2340.0,1687.0,1007.0,2683.0,2.6789379340685505e-05,0.0,0,0,NO_FIRE,0,9.248305415378006,77.4826961468286,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.48418483172934,9.248155850010475]}",0.1007,0.2683,0.234,0.1687,0.0766564024900628,0.1452892726964325,0.1061783838246064,0.0738493977403766,0.3000430984653759,0.1522122345365676,0.0562096136320267,0.0895615966145511,crops,0.3000430984653759,1.399642074626512,86.24,SPIC Fertilizers & Petrochem Tuticorin,Fertilizer,0,0,0,0,0.0002,0.0,-1.0,0.1012,-0.9949,661,1,1,0.0833,0,0.7386104339124566,0.7193600459320644,31.972911019312615,1.124192272640534e-05,-99.92020068381323,0.05127531234374006
2_655_0,0,0.0400037677187282,0.4077735190954187,0.0448952376408952,0.063818780946192,0.0310178596911759,0.0285929565494558,0.0844617210537323,0.0345321531921368,0.1622545855312512,24.07072829000004,-0.12365883,-0.15267736,0.05478737,3.57626909136142e-05,-28.50683215469912,-17.560938349755084,10.945893804944038,2750.0,2592.0,1811.5,2021.5,0.0001184085723642,0.0,0,0,NO_FIRE,0,16.928515250376176,81.77122002558544,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.76914873697945,16.928751529232382]}",0.18115,0.20215,0.275,0.2592,0.1892519840727815,0.0402779279520478,0.0333505135757725,0.0361788942298679,0.0744375320773094,0.098515232930301,0.0523653169563085,0.4756225982056111,bare,0.4756225982056111,3.310952541302644,52.49,Coromandel International Kakinada,Fertilizer,0,0,0,0,0.0053,0.0,-1.0,0.1012,-0.9949,662,1,1,0.0833,0,-2.1193877881465526,1.295216093705089,43.38730402244024,0.000277536179868435,-312.0327574807006,0.42346091749832043
2_656_0,0,0.0332285310735548,0.0663390775314635,0.0687794470383475,0.1373015326098539,0.0310256937389365,0.0589785446192965,0.2225426913678853,0.270723545160662,0.0366797927288442,30.814481750000027,0.064645246,-0.062478554,0.28422493,1.866930914372912e-05,-13.25948238080946,-7.341385522464446,5.918096858345013,2838.5,2200.5,1396.0,2504.6666666666665,1.1462612429527574e-05,0.0,0,0,NO_FIRE,0,8.83346905594687,77.74288384748455,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74469626412399,8.834930819315494]}",0.1396,0.2504666666666666,0.28385,0.22005,0.041103779125845,0.3033757820473986,0.0660920057296013,0.0347677336155859,0.1538616074457104,0.2493837874079204,0.0770750047679202,0.074340299860018,trees,0.3033757820473986,0.6139816069936247,43.03,SPIC Fertilizers & Petrochem Tuticorin,Fertilizer,0,0,0,0,0.0135,0.0,-1.0,0.1012,-0.9949,663,1,1,0.0833,0,1.5635065913925403,0.9937943665069456,39.29291274889722,0.0010405125643669227,-78.47090102114953,0.02139990550416022
2_657_0,0,0.0384078958501727,0.0479234472890807,0.1076767602512105,0.3081641945437612,0.0409533922348848,0.0528395800470289,0.1482797764707356,0.1198298581410199,0.0400063328275626,36.71569327999998,0.18070996,0.015033759,0.4007927,2.3575531124587145e-05,-17.553561251376674,-10.727479092602533,6.826082158774142,2703.6666666666665,1933.3333333333333,1191.8333333333333,2786.2,0.0001821439942367,0.0,0,0,NO_FIRE,0,16.61183866866442,79.15757371166063,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.15505126019164,16.61434117979055]}",0.1191833333333333,0.27862,0.2703666666666666,0.1933333333333333,0.0462141213036928,0.1384238746351198,0.0610387053583476,0.0473081360568181,0.35598207737472,0.1712883709246624,0.1243849787804026,0.0553597355662363,crops,0.35598207737472,7.725976279144191,32.82,Macherla Cement Cluster Palnadu,Cement,0,0,0,0,0.0376,0.0,-1.0,0.1012,-0.9949,664,1,1,0.0833,0,0.9276899171778843,0.8069730309875397,40.75931485679222,0.004676875202143138,-119.82205128097142,0.4294141405283943
2_658_0,0,0.0377636091559608,0.0489967743607444,0.2767299454090082,0.2145009239204228,0.0437564543551868,0.0585695416718307,0.0767510820490618,0.0810819801201837,0.0461369127138621,30.99221879000004,0.09574117,-0.017747365,0.35589007,3.801395950831772e-05,-18.72903183666194,-11.334405036566242,7.394626800095697,3066.666666666667,2442.5,1406.0,2959.714285714286,0.0001253780148501,0.0,0,0,NO_FIRE,0,13.465953748639963,80.161247570332,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1611643784055,13.470237685372226]}",0.1406,0.2959714285714285,0.3066666666666667,0.24425,0.0545016251385336,0.0957823015468597,0.0691883140194325,0.0516895850281118,0.2533903605532644,0.090666203193045,0.3269016252307038,0.0578799852900488,built,0.3269016252307038,3.298209827964861,15.04,Sri City Multi-Product SEZ,Industrial SEZ,0,0,0,2,0.2222,0.0,-1.0,0.1012,-0.9949,665,1,1,0.0833,0,1.104966407699354,0.9203070415104828,36.210513331460945,0.07263754112626239,-138.49420075922592,0.47661147797449593
2_659_0,0,0.034946587176251,0.0412992848950024,0.039047572212035,0.0454366366288417,0.0310104665372313,0.0445821012641924,0.1737816808745265,0.5208929615004713,0.0339227815986507,24.106617500000027,0.14386055,-0.016605914,0.38182947,2.00615973713611e-05,-15.407308157568409,-8.928121043636532,6.479187113931875,2761.0,1999.0,1194.8,2670.8,0.0001072605150216,0.0,0,0,NO_FIRE,0,15.289421112153793,79.12740248180783,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.12810180166805,15.293817712134855]}",0.1194799999999999,0.26708,0.2761,0.1999,0.0364771492168001,0.5601159276216132,0.047939110048603,0.0333455383625194,0.048857991476905,0.186867350071864,0.0419878338688132,0.044409099332882,trees,0.5601159276216132,5.346559051910973,96.49,Yerraguntla Cement Cluster Kadapa,Cement,0,0,0,0,0.0001,0.0,-1.0,0.1012,-0.9949,666,1,1,0.0833,0,1.0909326261183818,0.8703564280787073,27.337051346220065,4.19878338688132e-06,-99.82683247489469,0.21518172662081686
2_660_0,0,0.0375826006631416,0.0310875568538904,0.0540517096274665,0.0501445348906729,0.0332921015797182,0.039981827065016,0.0361855117121844,0.6117292794598532,0.0581080024047488,28.65771113000005,0.5290714,0.25005633,0.7016253,2.096036912323316e-05,-14.48627368407038,-7.484960239016205,7.001313445054176,1664.5,854.5,486.5,2774.5,2.1446523467346564e-05,0.0,0,0,NO_FIRE,0,11.325590136388705,76.28988177177824,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.28942550385037,11.32326415632657]}",0.04865,0.27745,0.16645,0.08545,0.0635351408713932,0.6688632260134509,0.0437160272207855,0.0364014985240529,0.0548279059055905,0.0395651457457294,0.0591000007468863,0.0339910549721109,trees,0.6688632260134509,1.0231939781811636,138.71,FACT Udyogamandal Eloor-Edayar Industrial Belt,Chemical / Fertilizer,0,0,0,0,0.0,0.0,-1.0,0.1012,-0.9949,667,1,1,0.0833,0,0.4744953367489748,0.353169922591962,23.8491242902426,0.0,-101.42294271301644,0.04495270482856663
2_661_0,0,0.0319551436183701,0.0409812500618179,0.2734471417086966,0.1617498754058033,0.0302108450217501,0.057309613617904,0.1434451167553882,0.1042689166771357,0.0338338739238679,17.72004713000001,0.021627834,-0.1199712,0.27783585,3.0917989249649206e-05,-16.408184072905385,-9.358849803726107,7.049334269179278,3111.0,2341.0,1381.5,2444.5,8.088179420692199e-05,0.0,0,0,NO_FIRE,0,12.857698289374516,77.74906297965548,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74469626412399,12.859383292170952]}",0.13815,0.24445,0.3111,0.2341,0.0400284042503467,0.1233591623852976,0.0678022382683864,0.0357420471565362,0.1913641167652176,0.1697080013404049,0.3235116603569303,0.0484843694768802,built,0.3235116603569303,2.616010813440582,15.36,SIPCOT Hosur Industrial Complex,Industrial Estate,0,0,0,1,0.2152,0.0,-1.0,0.1012,-0.9949,668,1,1,0.0833,0,2.5199088592103474,1.095748648801619,22.781216795291723,0.0696197093088114,-115.66677428013355,0.25007024437819536
