system:index,Burned_Area,CO,DW_bare,DW_built,DW_crops,DW_flooded,DW_grass,DW_shrub,DW_trees,DW_water,LST_C,NBR,NDMI,NDVI,NO2,S1_VH,S1_VV,S1_VV_VH,S2_B11,S2_B12,S2_B4,S2_B8,SO2,T21,confidence,day,fire_date,fire_label,latitude,longitude,month,sample_type,source,.geo,S2_B4_refl,S2_B8_refl,S2_B11_refl,S2_B12_refl,DW_water_norm,DW_trees_norm,DW_grass_norm,DW_flooded_norm,DW_crops_norm,DW_shrub_norm,DW_built_norm,DW_bare_norm,DW_dominant_class,DW_dominant_prob,atmospheric_SO2_NO2_ratio
2_4113_0,0,0.0393647169046617,0.0550276590412125,0.1130438236856555,0.2175177962697566,0.0477513312263057,0.0798375640421154,0.1160628400207992,0.1683817007826601,0.0436833584433461,30.359885090000034,0.2305621,0.05315789,0.4609599,3.645731111323437e-05,-16.36186220432948,-9.566392137628467,6.795470066701011,2556.5,1778.0,1049.1666666666667,2843.555555555556,8.677842995166829e-05,0.0,0,0,NO_FIRE,0,16.634519083967916,80.21644409025437,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21506329545268,16.632307485472943]}",0.10491666666666667,0.2843555555555556,0.25565,0.1778,0.05192326528798173,0.20014321313500918,0.09489716829078705,0.056758571855992965,0.25854775463794694,0.13795554754088468,0.13436706003295376,0.06540741921844376,crops,0.25854775463794694,2.380275102630014
2_4114_0,0,0.036660115796065,0.0716012944836938,0.0988218656460207,0.2417915710728497,0.0524999106206768,0.0738963838943856,0.1559919926193764,0.1368654782344247,0.0437151633151289,34.60677494000004,0.15342346,-0.019185126,0.3022981,2.9055002980015447e-05,-17.55536909974836,-10.398366231362829,7.157002868385533,2290.222222222222,1617.6666666666667,1180.7857142857142,2204.0,6.836506770504453e-05,0.0,0,0,NO_FIRE,0,17.21171178768161,77.88966369935407,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.88842670958311,17.207229267309437]}",0.11807857142857142,0.2204,0.2290222222222222,0.16176666666666667,0.0499497023525272,0.15638486469476076,0.08443528745036696,0.05998730669569626,0.2762752347366624,0.1782391511281146,0.11291557438221621,0.08181287855965562,crops,0.2762752347366624,2.352953388167513
2_4115_0,0,0.0361819522272925,0.048830494469416,0.1063082853576079,0.292051415155006,0.0568071903202623,0.0689408811407962,0.1021992230588304,0.1761358597219759,0.0511595308004568,35.03060942000002,0.29397252,0.12137636,0.46777526,3.2417703513477696e-05,-17.34409570495128,-10.401244908341878,6.942850796609401,1767.0,1230.5,817.75,2255.2,8.262017013957576e-05,0.0,0,0,NO_FIRE,0,16.612769308808115,75.33260848669124,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.32822814984247,16.61434117979055]}",0.081775,0.22551999999999997,0.1767,0.12305,0.05669067687236339,0.1951789031858225,0.0763944695132738,0.06294893678821786,0.3236267445697736,0.11324855878042987,0.11780187503223424,0.0541098352578846,crops,0.3236267445697736,2.5486126771819704
2_4116_0,0,0.0343018269187131,0.1885744876321405,0.0362460988108068,0.217300784625113,0.0295180827192962,0.1806639929115772,0.1844632239080965,0.0553825642354786,0.0334038457740098,35.211764480000056,-0.063381426,-0.2019337,0.2072712,2.363179311023621e-05,-19.007914874371245,-10.35876906923145,8.649145805139796,4351.0,3280.0,1897.0,2889.0,5.1427208743513e-05,0.0,0,0,NO_FIRE,0,14.832021704597311,76.38257547822607,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.37925703226232,14.835676917233899]}",0.1897,0.2889,0.4351,0.328,0.0360906861784299,0.05983726422107289,0.19519571237474076,0.03189237153166187,0.23477938669964468,0.1993005347518524,0.039161556014337906,0.20374248822825966,crops,0.23477938669964468,2.1761873296545193
2_4117_0,0,0.0367165280911114,0.0429035819252021,0.0985153455679354,0.2045495768359519,0.0660361051528812,0.0950765536338286,0.0851394184068531,0.1243471521026405,0.1004440515902579,26.654751410000017,0.3222721,0.09897792,0.47327837,1.976790577322185e-05,-16.544319048647044,-9.675131534036268,6.869187514610776,2545.5,1591.3333333333333,1110.0,3104.75,9.729536059705328e-05,0.0,0,0,NO_FIRE,0,12.629830051480305,80.098072843796,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.09828230851714,12.625821318299876]}",0.111,0.310475,0.25455,0.15913333333333332,0.12294076218711819,0.15219750112886588,0.1163710920139845,0.08082638016715882,0.2503630676294173,0.1042083112477881,0.12058007895436205,0.052512806671305146,crops,0.2503630676294173,4.9218850855133205
2_4118_0,0,0.0316456469683018,0.0473120762338942,0.0386764385696986,0.1520091399509945,0.0333124520155884,0.0897367419877454,0.1725510584352457,0.2854073421786661,0.0356823091759629,26.533411699999988,0.22225425,0.039980378,0.37083736,2.1236095729971304e-05,-15.960716800817709,-8.881696601444386,7.079020199373321,1957.0,1349.0,973.0,2120.0,5.541620427272706e-05,0.0,0,0,NO_FIRE,0,12.804780847961489,76.55611461929966,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.55892008908623,12.805484375123779]}",0.0973,0.212,0.1957,0.1349,0.041748951203397534,0.3339317851585476,0.10499362145883763,0.03897617519107189,0.17785346051985831,0.20188787903784178,0.04525213709137635,0.05535599033906893,trees,0.3339317851585476,2.609528840770673
2_4119_0,0,0.0357485187322447,0.0492019641361284,0.1418011022879826,0.2485239360989495,0.0326971073359759,0.0607070956082845,0.2209667150799015,0.1142780609873377,0.0315912226638333,30.52907707999998,0.065633625,-0.0582402,0.35761288,2.3358078060016627e-05,-17.16539183561266,-10.154459884477085,7.010931951135575,3361.5,2623.0,1415.5,2991.5,1.74265403784921e-05,0.0,0,0,NO_FIRE,0,11.334878391421627,77.3564283187295,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3584206919526,11.332247309167764]}",0.14155,0.29915,0.33615,0.2623,0.03511044025212951,0.1270084755858028,0.06746978032208756,0.036339518914901885,0.2762091515886718,0.24558209506731438,0.1575975448163993,0.054682993452692744,crops,0.2762091515886718,0.7460605420410046
2_4120_0,0,0.0331795842146293,0.0553055862223522,0.0433822464741145,0.1330208816927754,0.0271393030674921,0.0735554537192608,0.3076579943169943,0.2368051100444669,0.0306360689509246,18.2618033,0.064915575,-0.08863199,0.35724533,2.24537933148168e-05,-17.13182019969682,-10.38501895357778,6.746801246119038,3390.0,2492.0,1344.0,2838.0,-2.327152989338584e-05,0.0,0,0,NO_FIRE,0,12.40727179380442,77.51932871905849,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52011744309411,12.41022565011119]}",0.1344,0.2838,0.339,0.2492,0.03375865529096742,0.2609415096282938,0.08105260537365032,0.02990548097277702,0.14657905682221795,0.33901608572219805,0.047803989043549225,0.0609426171463463,shrub,0.33901608572219805,0.0044535904734641
2_4121_0,0,0.0367625458695174,0.0821881412570788,0.0427993566580963,0.443247022583488,0.0364792131480168,0.0721303463426672,0.1367986972274428,0.0728917601095004,0.0419607548339461,28.990968080000016,-0.034036335,-0.13322091,0.25501898,4.213725796700868e-05,-17.949976361640715,-10.38233688711459,7.567639474526125,3024.0,2476.0,1373.0,2313.0,0.0001289946128319195,0.0,0,0,NO_FIRE,0,14.9613950497646,77.97401386643224,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.97825823799506,14.961441057010632]}",0.1373,0.2313,0.3024,0.2476,0.045192210653346714,0.0785052554654429,0.07768520417033974,0.039288527853646185,0.4773820894150469,0.14733375428233683,0.04609539436491849,0.08851756379492236,crops,0.4773820894150469,3.0612958473215244
2_4122_0,0,0.0341344701020861,0.0443886450292276,0.0509266199458542,0.0808543984977794,0.0361122483321066,0.0919035182106403,0.1158047440955985,0.3814407543146184,0.0327895109693766,28.34496230000002,0.3329563,0.08580515,0.58553046,1.610416064148266e-05,-14.57185165560445,-7.653067810112132,6.918783845492317,2563.25,1523.5,795.8333333333334,3044.416666666667,6.225150243908399e-05,0.0,0,0,NO_FIRE,0,13.53185715439945,75.19150642361869,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.19348085722456,13.533119755260591]}",0.07958333333333334,0.3044416666666667,0.256325,0.15235,0.039305571310562164,0.45724215842896115,0.11016694613388889,0.04328861608604014,0.09692210197630463,0.13881791745543343,0.06104695778345506,0.053209730825354455,trees,0.45724215842896115,3.865553990981096
