system:index,Burned_Area,CO,DW_bare,DW_built,DW_crops,DW_flooded,DW_grass,DW_shrub,DW_trees,DW_water,LST_C,NBR,NDMI,NDVI,NO2,S1_VH,S1_VV,S1_VV_VH,S2_B11,S2_B12,S2_B4,S2_B8,SO2,T21,confidence,day,fire_date,fire_label,latitude,longitude,month,sample_type,source,.geo,S2_B4_refl,S2_B8_refl,S2_B11_refl,S2_B12_refl,DW_water_norm,DW_trees_norm,DW_grass_norm,DW_flooded_norm,DW_crops_norm,DW_shrub_norm,DW_built_norm,DW_bare_norm,DW_dominant_class,DW_dominant_prob,atmospheric_SO2_NO2_ratio,dist_to_industrial_km,nearest_facility_name,nearest_facility_category,is_industrial_zone,industrial_density_5km,industrial_density_15km,industrial_density_30km,industrial_proximity_score,month_sin,month_cos,day_sin,day_cos,spatial_cluster_id,recurrence_count_1km,active_months_count,persistence_score,is_recurrent_hotspot,vegetation_stress_index,fuel_dryness_indicator,thermal_vegetation_ratio,built_industrial_interaction,radar_biomass_proxy,industrial_gas_emission_score,is_thermal_hotspot,target_class,target_class_name
2_2424_0,0,0.0387789241805757,0.0524091183150742,0.0546253094686554,0.2654891645437793,0.0623326745341744,0.0616813835794138,0.1160773171373365,0.230810080818309,0.0518372231489864,30.39919232,0.35507202,0.12590009,0.47267282,3.215466877702615e-05,-16.740009449841395,-9.8350097172192,6.904999732622194,2109.166666666667,1293.0,972.8,2716.75,0.0001331985791248,0.0,0,0,NO_FIRE,0,18.022009994896703,79.77327998308432,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.77488880623412,18.0246961758582]}",0.0972799999999999,0.271675,0.2109166666666667,0.1293,0.057901717515121,0.2578128087759135,0.0688975572185308,0.0696250434261604,0.2965490370608323,0.1296573315179711,0.0610159851529778,0.0585405193324928,crops,0.2965490370608323,4.14243356224603,23.8,Kakatiya Thermal Power Station Warangal,Thermal Power,0,0,0,1,0.0926,0.0,-1.0,0.1012,-0.9949,2419,1,1,0.0833,0,0.5793315147999015,0.5637314892744818,31.25325566309132,0.0056500802251657,-115.58976077524784,0.4282956193328454,1,0,Forest/Natural Fire
2_2432_0,0,0.0352113247650068,0.0409589007436095,0.0410898848457019,0.1070765923688431,0.0348370280825411,0.0610771696994324,0.2387772190141613,0.3712418347131461,0.0317720818009389,30.571802330000025,0.17265458,0.0024068546,0.4017232,1.9652068029193567e-05,-15.452850147795324,-10.018589548848588,5.434260598946736,2590.5,1836.5,1111.0,2603.0,6.34786218108119e-05,0.0,0,0,NO_FIRE,0,12.261167423442778,78.77369541437017,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.77775884086144,12.257512051810872]}",0.1111,0.2603,0.25905,0.18365,0.0342803506774808,0.4005497769976775,0.0658989489200761,0.0375872612538555,0.1155298276880661,0.2576276509950701,0.0443337541000018,0.0441924293677719,trees,0.4005497769976775,3.2301242656250246,94.39,Cheyyar SIPCOT SEZ,Industrial SEZ,0,0,0,0,0.0001,0.0,-1.0,0.1012,-0.9949,2427,1,1,0.0833,0,0.988086267696588,0.8253541198700841,33.90375486623836,4.4333754100001806e-06,-83.97481469959237,0.1247486194225526,1,0,Forest/Natural Fire
2_2435_0,0,0.0373491053852099,0.046846973760763,0.0470106174969779,0.0565192593483343,0.0311263517498792,0.0422133797003577,0.2995366114701721,0.3689870051041777,0.0319702413376598,30.55642124000002,0.058162894,-0.10614645,0.38693932,2.3735973606425453e-05,-15.4569772147307,-9.32802418178854,6.12895303294216,2956.5714285714284,2126.5,1056.0588235294117,2389.1428571428573,0.0001094338593545,0.0,0,0,NO_FIRE,0,16.24409104159208,78.48929265299235,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.4902979499432,16.246031913301547]}",0.1056058823529411,0.2389142857142857,0.2956571428571428,0.21265,0.034591950009519,0.3992456578577766,0.0456750734192145,0.0336788575456322,0.0611541018193557,0.3241000085223437,0.0508657070554074,0.0506886437707506,trees,0.3992456578577766,4.610464317542883,103.9,Macherla Cement Cluster Palnadu,Cement,0,0,0,0,0.0,0.0,-1.0,0.1012,-0.9949,2430,1,1,0.0833,0,1.7560417896587277,1.0418097712801735,34.45153524144134,0.0,-94.73508738034158,0.2597519197287687,1,0,Forest/Natural Fire
2_2436_0,0,0.0361059251516576,0.0924320969535338,0.0377881494500944,0.3112157954639124,0.0613329806440179,0.0702212933871534,0.1687576845138063,0.1279398250213313,0.051106410506632,35.16903923000001,0.102504365,-0.017898833,0.2794863,2.563364387326372e-05,-19.234167538845263,-11.49046177374458,7.743705765100682,1962.0,1541.0,1066.0,1893.0,6.619881171380116e-05,0.0,0,0,NO_FIRE,0,16.880243731234213,77.4429928676138,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.43926906752336,16.883835765026408]}",0.1066,0.1893,0.1962,0.1541,0.0555025308715501,0.1389450759220446,0.0762616561293204,0.0666087799532906,0.3379862550356243,0.1832740453044218,0.0410386468280813,0.1003830099556666,crops,0.3379862550356243,2.582497129206337,37.24,Sedam Cement Industrial Hub Kalaburagi,Cement,0,0,0,0,0.0241,0.0,-1.0,0.1012,-0.9949,2431,1,1,0.0833,0,1.1368434411903947,0.913559759489094,45.118226234380266,0.0009890313885567,-148.94373405746845,0.1696916764304818,1,0,Forest/Natural Fire
2_2440_0,0,0.0414061005793387,0.0555696687952149,0.1048997848811268,0.3029977759360918,0.0554104140683193,0.0582394164812285,0.0844191813666839,0.1354452176819904,0.063886689425999,30.97000165999998,0.213772,0.04040127,0.40547866,7.915834352221118e-05,-16.16269883917074,-9.448486830832874,6.714212008337867,2331.625,1637.5,1069.3333333333333,2527.958333333333,0.0003507027073631,0.0,0,0,NO_FIRE,0,18.97407368325804,79.4545862301785,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.45149530395108,18.976910377024893]}",0.1069333333333333,0.2527958333333333,0.2331625,0.16375,0.0742119330668412,0.1573356127724009,0.067651958750549,0.0643657384189112,0.3519676926320776,0.0980628467906234,0.1218534859806989,0.0645507315878974,crops,0.3519676926320776,4.430394722253972,24.23,Ramagundam Super Thermal Power Station NTPC,Thermal Power,0,0,0,1,0.0887,0.0,-1.0,0.1012,-0.9949,2435,1,1,0.0833,0,0.8187777620361563,0.75446339029044,34.202906184448324,0.0108084042064879,-108.5197866331087,2.776104538361777,1,1,Industrial Fire
2_2444_0,0,0.0380888306545514,0.0502379538665991,0.0362352190641104,0.06831279706239,0.0290428943844744,0.0411660918252891,0.2520303504425101,0.4284823416019208,0.034950918307004,30.97000165999998,0.12191455,-0.08229989,0.38563913,2.8480541164280107e-05,-15.224175017277634,-8.614768940401206,6.609406076876429,2640.0,1752.0,992.5,2238.5,0.0001040944599081,0.0,0,0,NO_FIRE,0,18.600376063942136,77.97297059370366,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.96927508515387,18.599617957694694]}",0.09925,0.22385,0.264,0.1752,0.0371636981680745,0.4556100149864306,0.0437723609410201,0.030881630958909,0.0726377529981762,0.2679866603437005,0.0385293093739056,0.0534185722297831,trees,0.4556100149864306,3.6549326541121054,122.94,Bollaram Industrial Area Hyderabad,Industrial Estate,0,0,0,0,0.0,0.0,-1.0,0.1012,-0.9949,2439,1,1,0.0833,0,1.5426209855968993,0.9503517859456004,34.96909814723293,0.0,-100.6227548746251,0.2964666550386147,1,0,Forest/Natural Fire
2_2446_0,0,0.0374235636263512,0.0443429142210839,0.0460386102010185,0.3568732135334155,0.0492699019054675,0.1116591544834793,0.1084879142193434,0.1577118675599599,0.0388369036760802,30.535913120000032,0.3385186,0.14275125,0.52493995,2.680788088795417e-05,-17.226215233319877,-9.629597175957906,7.596618057361971,2313.0,1523.75,960.5416666666669,3083.333333333333,4.296559642446101e-05,0.0,0,0,NO_FIRE,0,14.953261245227884,78.6342226802276,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.63402839540231,14.952457904169435]}",0.0960541666666666,0.3083333333333333,0.2313,0.152375,0.042527412092852,0.1726985662810867,0.1222696566200002,0.0539518144799666,0.390785381435633,0.1187970666657857,0.0504134666483923,0.0485566357762832,crops,0.390785381435633,1.6027225950473067,32.97,Rayalaseema Thermal Power Station (RTPS),Thermal Power,0,0,0,0,0.037,0.0,-1.0,0.1012,-0.9949,2441,1,1,0.0833,0,0.5724025231985637,0.56705410329825,29.792880178004605,0.0018652982659905,-130.86097770144164,0.115181659122686,1,0,Forest/Natural Fire
2_2447_0,0,0.0372329197099085,0.0683872615986996,0.0472303862436948,0.3581583953106447,0.0680266737403786,0.0737470693626057,0.1106533707009957,0.1160175284466651,0.0637487676473991,36.37389128000001,0.18907104,0.02178813,0.3891726,2.958291552136586e-05,-18.688768467921072,-11.32655529778862,7.362213170132453,2604.0,1855.0,1196.0,2720.0,0.0001274861020153,0.0,0,0,NO_FIRE,0,16.555850436617778,77.49508671566743,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49316798457052,16.551459109902183]}",0.1196,0.272,0.2604,0.1855,0.0703652506524462,0.1280589848321557,0.0814012758534447,0.0750871605121799,0.395331646232061,0.1221380812877765,0.0521324268546079,0.0754851737753276,crops,0.395331646232061,4.309450227220146,27.64,Raichur Thermal Power Station (RTPS Shaktinagar),Thermal Power,0,0,0,1,0.063,0.0,-1.0,0.1012,-0.9949,2442,1,1,0.0833,0,0.8939627298142822,0.7932603343987552,40.907571016020974,0.0032843428918402,-137.5906973480846,0.3771410586066849,1,0,Forest/Natural Fire
2_2448_0,0,0.0380367647055271,0.0619812442843491,0.042888571611709,0.4022434068740242,0.0511873884954386,0.0627868293991519,0.1175746046938002,0.1194004164879313,0.0415574772179954,33.037903760000006,0.12729332,0.013336048,0.29981717,2.244770320468784e-05,-17.511816969659563,-10.04704299056372,7.464773979095844,2423.0,1926.5,1340.5,2488.5,5.928385317440469e-05,0.0,0,0,NO_FIRE,0,15.026392172331,79.71082953414378,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.71200673634574,15.024323126898997]}",0.13405,0.24885,0.2423,0.19265,0.0461944821512237,0.1327231770919919,0.0697926164958614,0.0568989039401163,0.4471259355282358,0.1306936402677748,0.0476741007500488,0.068897143774747,crops,0.4471259355282358,2.6409763455008712,89.23,Sri Damodaram Sanjeevaiah (Krishnapatnam) TPS,Thermal Power,0,0,0,0,0.0001,0.0,-1.0,0.1012,-0.9949,2443,1,1,0.0833,0,0.9148244076980628,0.8610682218255994,41.30681985734315,4.76741007500488e-06,-130.72175564180372,0.1330786340889327,1,0,Forest/Natural Fire
2_2450_0,0,0.0394588490662409,0.0497583088558167,0.067468555374071,0.2347350529767572,0.0482743947673589,0.0502447192557156,0.1871664872951805,0.2004827675595879,0.0424217870086431,33.86164658000001,0.24022347,0.07060185,0.44625407,3.329378449831028e-05,-16.75566483247169,-10.202862333539668,6.552802498932023,2409.0,1700.0,1062.5,2775.0,0.0001588927483506,0.0,0,0,NO_FIRE,0,17.925626278861298,79.4816184312764,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.47844476247467,17.92588149460505]}",0.10625,0.2775,0.2409,0.17,0.0481763524326589,0.2276784913529855,0.0570604746624695,0.0548228733342079,0.266577139671251,0.2125558419705009,0.0766207444575912,0.0565080821183349,crops,0.266577139671251,4.772444789468419,49.01,Kakatiya Thermal Power Station Warangal,Thermal Power,0,0,0,0,0.0074,0.0,-1.0,0.1012,-0.9949,2445,1,1,0.0833,0,0.7268011812630852,0.7061349013954196,35.78494154323692,0.0005669935089861,-109.7965623854879,0.5290140921929122,1,0,Forest/Natural Fire
2_2453_0,0,0.0352309826291081,0.0457402185496428,0.0359408917796352,0.3210678526261092,0.0465283299209145,0.1142625880083474,0.1517222514679736,0.1422081268999887,0.041420872181492,33.20025971000001,0.14553785,-0.03314917,0.4342303,2.33359559994089e-05,-15.972439967445752,-9.223537907986854,6.7489020594588975,2805.0,1958.0,1035.5,2625.0,3.535515136312613e-05,0.0,0,0,NO_FIRE,0,14.602492613378404,75.34497098217966,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.34619445552487,14.602114943362823]}",0.10355,0.2625,0.2805,0.1958,0.0460799653406398,0.1582039492069611,0.1271150465419002,0.0517619189842073,0.3571821340743156,0.1687882393787931,0.0399835870249321,0.0508851594482506,crops,0.3571821340743156,1.515050481069714,119.69,Kirloskar Ferrous Industries Koppal,Steel / Metallurgy,0,0,0,0,0.0,0.0,-1.0,0.1012,-0.9949,2448,1,1,0.0833,0,1.16529617013852,0.8827868610689155,35.5375539735759,0.0,-107.79643299087824,0.0825046256562353,1,0,Forest/Natural Fire
2_2454_0,0,0.0388115693615738,0.0454176188635756,0.0491186942628701,0.3307344694723724,0.041300140369276,0.0864057139042415,0.098485950945178,0.2300983581197215,0.0368301335794967,31.43485238000005,0.3161532,0.11304766,0.5070205,2.5987650011100155e-05,-15.426775047361147,-8.682025030080423,6.744750017280724,2416.8571428571427,1575.857142857143,992.1428571428572,3032.9444444444443,0.000126432041522,0.0,0,0,NO_FIRE,0,16.210535101575704,80.12257969416616,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.12523176704072,16.210099301936765]}",0.0992142857142857,0.3032944444444444,0.2416857142857142,0.1575857142857143,0.0401028868865724,0.2505450708872324,0.0940837904803139,0.0449701018339688,0.3601237826116612,0.107237486449675,0.0534834182935628,0.0494534625570131,crops,0.3601237826116612,4.865081739520544,38.27,Autonagar Industrial Area Guntur,Industrial Estate,0,0,0,0,0.0218,0.0,-1.0,0.1012,-0.9949,2449,1,1,0.0833,0,0.6353691901077615,0.606539519461512,31.215702540315764,0.0011659385187996,-104.04974126727494,0.3285671645262619,1,0,Forest/Natural Fire
2_2459_0,0,0.0363356992958212,0.0330699101323261,0.0329378290603367,0.0392787909188952,0.0286630545563709,0.0371938670555559,0.0430336421033224,0.7109856881971399,0.0328170157825717,29.513925140000023,0.5146667,0.21653458,0.7170496,1.8843737082116183e-05,-13.618497139223985,-6.736008837481391,6.882488301742592,1829.0,910.0,468.0,2840.0,7.500502391804608e-06,0.0,0,0,NO_FIRE,0,12.98043496621962,75.40724608464032,0,BACKGROUND,BACKGROUND,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.40907652541324,12.976164279106488]}",0.0468,0.284,0.1829,0.091,0.0342564799985476,0.7421719015631437,0.0388253146263819,0.0299203121214043,0.0410016902327498,0.044921241765073,0.0343825925512774,0.034520467141422,trees,0.7421719015631437,0.3980368840384122,62.1,MRPL Mangalore Refinery,Refinery,0,0,0,0,0.002,0.0,-1.0,0.1012,-0.9949,2454,2,1,0.0833,1,0.5361214281486344,0.3802418577244859,24.25038810250628,6.876518510255481e-05,-93.72914724802403,0.0141337495054949,1,0,Forest/Natural Fire
